Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,dc1-lf01,Ethernet1,spine,dc1-sp01,Ethernet1,True
l3leaf,dc1-lf01,Ethernet2,spine,dc1-sp02,Ethernet1,True
l3leaf,dc1-lf01,Ethernet9,server,dc1-h02,,True
l3leaf,dc1-lf01,Ethernet10,server,dc1-h01,,True
l3leaf,dc1-lf02,Ethernet1,spine,dc1-sp01,Ethernet2,True
l3leaf,dc1-lf02,Ethernet2,spine,dc1-sp02,Ethernet2,True
l3leaf,dc1-lf02,Ethernet10,server,dc1-h01,,True
l3leaf,dc1-lf03,Ethernet1,spine,dc1-sp01,Ethernet3,True
l3leaf,dc1-lf03,Ethernet2,spine,dc1-sp02,Ethernet3,True
l3leaf,dc1-lf03,Ethernet6,l3leaf,dc2-lf03,Ethernet6,True
l3leaf,dc1-lf04,Ethernet1,spine,dc1-sp01,Ethernet4,True
l3leaf,dc1-lf04,Ethernet2,spine,dc1-sp02,Ethernet4,True
l3leaf,dc1-lf04,Ethernet6,l3leaf,dc2-lf04,Ethernet6,True
l3leaf,dc1-lf05,Ethernet1,spine,dc1-sp01,Ethernet5,True
l3leaf,dc1-lf05,Ethernet2,spine,dc1-sp02,Ethernet5,True
l3leaf,dc1-lf06,Ethernet1,spine,dc1-sp01,Ethernet6,True
l3leaf,dc1-lf06,Ethernet2,spine,dc1-sp02,Ethernet6,True
l3leaf,dc1-lf07,Ethernet1,spine,dc1-sp01,Ethernet7,True
l3leaf,dc1-lf07,Ethernet2,spine,dc1-sp02,Ethernet7,True
l3leaf,dc1-lf08,Ethernet1,spine,dc1-sp01,Ethernet8,True
l3leaf,dc1-lf08,Ethernet2,spine,dc1-sp02,Ethernet8,True
l3leaf,dc1-lf09,Ethernet1,spine,dc1-sp01,Ethernet9,True
l3leaf,dc1-lf09,Ethernet2,spine,dc1-sp02,Ethernet9,True
l3leaf,dc1-lf10,Ethernet1,spine,dc1-sp01,Ethernet10,True
l3leaf,dc1-lf10,Ethernet2,spine,dc1-sp02,Ethernet10,True
l3leaf,dc1-lf11,Ethernet1,spine,dc1-sp01,Ethernet11,True
l3leaf,dc1-lf11,Ethernet2,spine,dc1-sp02,Ethernet11,True
l3leaf,dc1-lf12,Ethernet1,spine,dc1-sp01,Ethernet12,True
l3leaf,dc1-lf12,Ethernet2,spine,dc1-sp02,Ethernet12,True
l3leaf,dc1-lf13,Ethernet1,spine,dc1-sp01,Ethernet13,True
l3leaf,dc1-lf13,Ethernet2,spine,dc1-sp02,Ethernet13,True
l3leaf,dc1-lf14,Ethernet1,spine,dc1-sp01,Ethernet14,True
l3leaf,dc1-lf14,Ethernet2,spine,dc1-sp02,Ethernet14,True
spine,dc1-sp01,Ethernet1,l3leaf,dc1-lf01,Ethernet1,True
spine,dc1-sp01,Ethernet2,l3leaf,dc1-lf02,Ethernet1,True
spine,dc1-sp01,Ethernet3,l3leaf,dc1-lf03,Ethernet1,True
spine,dc1-sp01,Ethernet4,l3leaf,dc1-lf04,Ethernet1,True
spine,dc1-sp01,Ethernet5,l3leaf,dc1-lf05,Ethernet1,True
spine,dc1-sp01,Ethernet6,l3leaf,dc1-lf06,Ethernet1,True
spine,dc1-sp01,Ethernet7,l3leaf,dc1-lf07,Ethernet1,True
spine,dc1-sp01,Ethernet8,l3leaf,dc1-lf08,Ethernet1,True
spine,dc1-sp01,Ethernet9,l3leaf,dc1-lf09,Ethernet1,True
spine,dc1-sp01,Ethernet10,l3leaf,dc1-lf10,Ethernet1,True
spine,dc1-sp01,Ethernet11,l3leaf,dc1-lf11,Ethernet1,True
spine,dc1-sp01,Ethernet12,l3leaf,dc1-lf12,Ethernet1,True
spine,dc1-sp01,Ethernet13,l3leaf,dc1-lf13,Ethernet1,True
spine,dc1-sp01,Ethernet14,l3leaf,dc1-lf14,Ethernet1,True
spine,dc1-sp02,Ethernet1,l3leaf,dc1-lf01,Ethernet2,True
spine,dc1-sp02,Ethernet2,l3leaf,dc1-lf02,Ethernet2,True
spine,dc1-sp02,Ethernet3,l3leaf,dc1-lf03,Ethernet2,True
spine,dc1-sp02,Ethernet4,l3leaf,dc1-lf04,Ethernet2,True
spine,dc1-sp02,Ethernet5,l3leaf,dc1-lf05,Ethernet2,True
spine,dc1-sp02,Ethernet6,l3leaf,dc1-lf06,Ethernet2,True
spine,dc1-sp02,Ethernet7,l3leaf,dc1-lf07,Ethernet2,True
spine,dc1-sp02,Ethernet8,l3leaf,dc1-lf08,Ethernet2,True
spine,dc1-sp02,Ethernet9,l3leaf,dc1-lf09,Ethernet2,True
spine,dc1-sp02,Ethernet10,l3leaf,dc1-lf10,Ethernet2,True
spine,dc1-sp02,Ethernet11,l3leaf,dc1-lf11,Ethernet2,True
spine,dc1-sp02,Ethernet12,l3leaf,dc1-lf12,Ethernet2,True
spine,dc1-sp02,Ethernet13,l3leaf,dc1-lf13,Ethernet2,True
spine,dc1-sp02,Ethernet14,l3leaf,dc1-lf14,Ethernet2,True
l3leaf,dc2-lf01,Ethernet1,spine,dc2-sp01,Ethernet1,True
l3leaf,dc2-lf01,Ethernet2,spine,dc2-sp02,Ethernet1,True
l3leaf,dc2-lf01,Ethernet10,server,dc2-h01,,True
l3leaf,dc2-lf02,Ethernet1,spine,dc2-sp01,Ethernet2,True
l3leaf,dc2-lf02,Ethernet2,spine,dc2-sp02,Ethernet2,True
l3leaf,dc2-lf02,Ethernet9,server,dc2-h02,,True
l3leaf,dc2-lf02,Ethernet10,server,dc2-h01,,True
l3leaf,dc2-lf03,Ethernet1,spine,dc2-sp01,Ethernet3,True
l3leaf,dc2-lf03,Ethernet2,spine,dc2-sp02,Ethernet3,True
l3leaf,dc2-lf03,Ethernet6,l3leaf,dc1-lf03,Ethernet6,True
l3leaf,dc2-lf04,Ethernet1,spine,dc2-sp01,Ethernet4,True
l3leaf,dc2-lf04,Ethernet2,spine,dc2-sp02,Ethernet4,True
l3leaf,dc2-lf04,Ethernet6,l3leaf,dc1-lf04,Ethernet6,True
l3leaf,dc2-lf05,Ethernet1,spine,dc2-sp01,Ethernet5,True
l3leaf,dc2-lf05,Ethernet2,spine,dc2-sp02,Ethernet5,True
l3leaf,dc2-lf06,Ethernet1,spine,dc2-sp01,Ethernet6,True
l3leaf,dc2-lf06,Ethernet2,spine,dc2-sp02,Ethernet6,True
spine,dc2-sp01,Ethernet1,l3leaf,dc2-lf01,Ethernet1,True
spine,dc2-sp01,Ethernet2,l3leaf,dc2-lf02,Ethernet1,True
spine,dc2-sp01,Ethernet3,l3leaf,dc2-lf03,Ethernet1,True
spine,dc2-sp01,Ethernet4,l3leaf,dc2-lf04,Ethernet1,True
spine,dc2-sp01,Ethernet5,l3leaf,dc2-lf05,Ethernet1,True
spine,dc2-sp01,Ethernet6,l3leaf,dc2-lf06,Ethernet1,True
spine,dc2-sp02,Ethernet1,l3leaf,dc2-lf01,Ethernet2,True
spine,dc2-sp02,Ethernet2,l3leaf,dc2-lf02,Ethernet2,True
spine,dc2-sp02,Ethernet3,l3leaf,dc2-lf03,Ethernet2,True
spine,dc2-sp02,Ethernet4,l3leaf,dc2-lf04,Ethernet2,True
spine,dc2-sp02,Ethernet5,l3leaf,dc2-lf05,Ethernet2,True
spine,dc2-sp02,Ethernet6,l3leaf,dc2-lf06,Ethernet2,True
